name,category,url,menu_path,description,inputs,outputs,limitations,notes,confidence,evidence
Dashboard Principal,ai_assistant,https://criadordecriativos.app/app,home,"Painel principal com saudação personalizada ('Olá, Douglas!') e 4 ações rápidas: Criar Criativo, Criar Sequência, Criar Thumbnail e Animar Criativo. Exibe créditos disponíveis (33), seção 'Últimas Criações' com histórico visual, notificações, suporte e perfil do usuário.",Seleção de tipo de criação,Navegação para ferramenta selecionada; Visualização de criações recentes,Sistema baseado em créditos - cada geração consome créditos,"Sidebar com 8 ícones de navegação: Home, Criar Criativo, Sequências, Vídeo/Animação, Histórico, Recargas, Perfil, Logout. Design moderno com UI limpa e cores azul/roxo.",0.95,screenshot_dashboard.png
Assistente IA - Chatbot de Criação de Anúncios,ai_assistant,https://criadordecriativos.app/app/generate-creatives#assistente-ia,app > criar-criativo > assistente-ia,"Chatbot conversacional completo chamado 'IA Criador de Anúncios' que guia o usuário passo a passo na criação de criativos. Interface de chat com barra de progresso (20% ao iniciar). Fluxo: (1) IA se apresenta, (2) pede upload de 1-2 fotos do produto/serviço, (3) opção de pular e deixar a IA criar imagem do zero. Status 'Online agora' indica disponibilidade.","Fotos do produto/serviço (1-2, JPG/PNG/WEBP); Instruções conversacionais em linguagem natural; Opção de pular upload e deixar IA gerar imagem",Criativos publicitários gerados via conversa guiada; Imagens criadas por IA quando sem upload,Fluxo sequencial guiado - requer seguir etapas da IA,"Interface de chat moderna com ícone de IA (✨). Mensagens: 'Olá! 👋 Eu sou a IA do Criador de Criativos.', 'Vou criar um anúncio profissional para você! ⚡', 'Primeiro, envie 1 ou 2 fotos do seu produto ou serviço para deixar o criativo mais profissional! 📸'. Opção 'Ou pular e deixar a IA criar imagem' sugere capacidade de image generation sem input visual. Barra de progresso indica fluxo multi-etapa.",0.95,screenshot_assistente_ia_chat.png
Geração Automática de Texto por IA,ai_assistant,https://criadordecriativos.app/app/generate-creatives#texto,app > criar-criativo > texto-ia,"Funcionalidade de geração automática de texto publicitário baseada no tema/estilo selecionado. Ao escolher um tema (ex: IA Imobiliário), a mensagem 'A IA vai criar o texto do seu anúncio com base no estilo escolhido ✨' confirma que o copy é gerado automaticamente por IA.",Tema/estilo selecionado; Contexto do produto/serviço,Texto publicitário otimizado para o nicho selecionado,Texto gerado depende do tema escolhido,"Integrado ao fluxo de criação - não é uma ferramenta standalone. A IA adapta o tom e conteúdo do texto ao nicho do tema (ex: imobiliário, vendas, beleza, etc.).",0.9,screenshot_ia_texto.png
Sistema de Identidade Visual / Branding,automation,https://criadordecriativos.app/app/identidade-visual,app > criar-criativo > identidade-visual,"Funcionalidade para salvar e reutilizar identidade visual (logos, cores, fontes) nos criativos. Toggle 'Usar identidade visual personalizada' disponível na tela de criação. Permite salvar múltiplos logos com posição e opacidade configuráveis.","Logos (PNG/SVG/WEBP, máx 5MB); Posição do logo (ex: Inf. Dir.); Opacidade (0-100%); Cores e fontes da marca",Identidade visual aplicada automaticamente a todos os criativos,Máximo 4 logos por criativo,Sistema de 'Meus logos salvos' para reutilização rápida. Posicionamento configurável. Controle de opacidade granular (15%-100%). Toggle para ativar/desativar identidade visual personalizada.,0.88,screenshot_identidade_visual.png
Histórico de Criações,export,https://criadordecriativos.app/historico,historico,"Tela de histórico que exibe todas as criações anteriores do usuário com preview visual. Permite revisitar, baixar e reutilizar criativos gerados anteriormente.",Filtros de busca/data,Lista de criações anteriores; Download de criativos,Detalhes de filtros não visíveis nos screenshots,Ícone de relógio/histórico no sidebar. Seção 'Últimas Criações' no dashboard mostra preview rápido das criações mais recentes.,0.8,screenshot_dashboard.png
Gerador de Criativos (Formulário Wizard),image_generation,https://criadordecriativos.app/app/generate-creatives,app > criar-criativo > formulario,"Ferramenta principal de criação de criativos publicitários em 2 etapas. Etapa 1 (Foto): seleção de formato (Quadrado 1:1, Feed 4:5, Stories 9:16, Paisagem 16:9 - máx. 3 simultâneos), quantidade (1 ou 5 criativos), upload de imagem do produto (1-3 imagens), upload de logo com posicionamento. Etapa 2: seleção de tema visual e geração de texto por IA.","Formato do criativo (1:1, 4:5, 9:16, 16:9); Quantidade (1 ou 5); Imagem do produto (1-3); Logo (PNG/SVG/WEBP, máx 5MB, até 4 logos); Posição e opacidade do logo; Identidade visual personalizada (toggle); Tema visual; Texto do anúncio (gerado por IA)",Criativos publicitários em múltiplos formatos; Imagens otimizadas para redes sociais,"Máximo 3 formatos simultâneos, 1 crédito por geração, máx 3 imagens de produto, máx 4 logos",Modo Formulário: wizard step-by-step com 2 etapas. Logo pode ser posicionado (Inf. Dir.) com controle de opacidade (15%-100%). Suporta salvar logos para reutilização ('Meus logos salvos'). Ao selecionar tema com IA: 'A IA vai criar o texto do seu anúncio com base no estilo escolhido ✨'. Botão 'Avançar para o texto' leva à etapa 2.,0.98,screenshot_criar_criativo_formulario.png
Criar Sequência / Carrossel,image_generation,https://criadordecriativos.app/app/generate-carousel-images,app > criar-sequencia,"Ferramenta para criar sequências de imagens em formato carrossel, otimizadas para engajamento em redes sociais (Instagram, Facebook). Acessível pelo card 'Criar Sequência - Carrosséis que engajam' no dashboard.",Imagens; Textos; Tema/template,Sequência de imagens para carrossel,Detalhes específicos do formulário não visíveis nos screenshots,Ícone dedicado no sidebar (camadas). Foco em 'carrosséis que engajam' sugere otimização para algoritmos de redes sociais.,0.9,screenshot_dashboard.png
Criar Thumbnail YouTube,image_generation,https://criadordecriativos.app/app/generate-thumbnail-image,app > criar-thumbnail,Ferramenta dedicada para criação de thumbnails otimizadas para vídeos do YouTube. Acessível pelo card 'Criar Thumbnail - Para seus vídeos do YouTube' no dashboard.,Imagem base; Texto/título; Estilo visual,Thumbnail otimizada para YouTube,Detalhes específicos do formulário não visíveis nos screenshots,Ícone laranja/vermelho no dashboard. YouTube é o foco principal desta ferramenta.,0.9,screenshot_dashboard.png
Gerador de Imagens Criativas (WhatsApp/Vendas),image_generation,https://criadordecriativos.app/app/generate-creative-images,app > generate-creative-images,"Ferramenta para geração de imagens criativas focadas em marketing e vendas, particularmente para WhatsApp e canais de vendas diretas.",Imagem do produto; Configurações de design; Tema,Imagens criativas otimizadas para marketing direto,Baseado em créditos,"Diferente do 'Criar Criativo' principal - foco específico em imagens para canais de vendas diretas (WhatsApp, etc.).",0.75,bundle_analysis
Sistema de Créditos e Recargas,integration,https://criadordecriativos.app/historico-recargas,app > recargas,"Sistema de monetização baseado em créditos. Cada geração consome créditos (1 crédito = até 3 formatos simultâneos). Exibe saldo no header (33 créditos visíveis), ícone de raio para recarga rápida, e tela dedicada de histórico de recargas.",Pagamento/recarga,Créditos adicionados à conta,Modelo pay-per-use - sem plano ilimitado aparente,"Exibido proeminentemente no header com badge '33 créditos' e barra de progresso verde. Ícone de raio (⚡) sugere recarga rápida. Rotas '/historico-recargas', '/upsell', '/welcome-offer' detectadas no bundle.",0.85,screenshot_creditos.png
Galeria de Temas/Templates (90+ temas),template_gallery,https://criadordecriativos.app/app/generate-creatives#temas,app > criar-criativo > temas,"Biblioteca massiva com mais de 90 temas de design organizados por categorias e nichos profissionais. Categorias: TOP Temas, Novos, Todos, Favoritos, Imobiliário, Vendas, Mais categorias. Inclui 3 temas com IA e dezenas de temas por nicho específico. Sistema de favoritos e recomendações.",Seleção de tema; Filtro por categoria/nicho,Template visual aplicado ao criativo; Texto adaptado ao nicho via IA,Alguns temas podem requerer plano premium,"TEMAS COM IA: IA Mágico ('otimiza automaticamente cores, composição'), IA Imobiliário ('campanha conceitual visualmente poderosa'), IA Express ('campanha conceitual de alta conversão' - Recomendado). TEMAS DE ESTILO: Conversão Extrema, CTR Monstro, Disparo de Vendas, Ímã de Leads, Campanhas com Promoções, Fechamento Garantido, Oferta Relâmpago, Minimalista Premium, Neon Futurista, Preto e Amarelo, Produto em Destaque, Dark Premium, Expert Photoshop (Glass Morphism), Imobiliário Top, Apple Style, Cinematográfico Premium, Estilo Luxo, Tecnologia, Publicitária Premium, Estilo Cinemático, Bold Impacto, Wow Tema, Orange Black, Forest Bold, Gradiente Vibrante, Luz e Sombra, Autoridade Expert, Storytelling Visual, Neon Verde, Duotone Dramático, Magazine Cover, Wireframe Tech, Editorial/Tipográfico. TEMAS POR NICHO: Serviços Profissionais, Restaurante Gourmet/Delivery/Pizzaria/Cafeteria, Automotivo Premium/Promoção/Seminovo/Oficina, Clínica Estética, Saúde e Bem-estar, Consultório Médico, Joalheria, Academia, Curso Online, Escola de Idiomas, Coaching, Preparatório, Advogado, Contador, Arquiteto, Fotógrafo, Salão de Beleza, Barbearia, Loja de Cosméticos, Micropigmentação, Extensão de Cílios, Nail Designer, Maquiador, Pet Shop, Veterinário, Hotel Pet, Turismo, Eventos.",0.98,screenshot_temas_completo.png
Animar Criativo (Vídeo),video_generation,https://criadordecriativos.app/app/generate-video,app > animar-criativo,Ferramenta para transformar criativos estáticos em vídeos animados. Acessível pelo card 'Animar Criativo - Transforme em vídeo' no dashboard.,Criativo estático (imagem); Configurações de animação,Vídeo animado do criativo,Detalhes sobre duração e formatos de vídeo não visíveis nos screenshots,"Ícone roxo/magenta no dashboard. Converte imagens estáticas em vídeo, provavelmente com efeitos de movimento/transição. Ícone de play no sidebar sugere seção dedicada.",0.9,screenshot_dashboard.png
